,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded,Is_On_Coast,GDP,Avg_rent,Avg price,Bedrooms_per_area
90,20315222,219000,2,80,0,0,0,1,4,62,1,0,5,0,0,52323,950.0,2888,0.025
91,20315221,229000,2,80,0,0,0,1,4,62,1,0,5,0,0,52323,950.0,2888,0.025
92,20315218,369000,3,123,0,1,1,1,2,232,1,0,5,0,0,52323,950.0,2888,0.024390243902439025
93,20315212,635000,3,123,0,1,0,1,4,728,1,0,5,0,0,52323,950.0,2888,0.024390243902439025
94,20315210,260000,3,157,0,1,0,4,2,287,1,0,5,0,0,52323,950.0,2888,0.01910828025477707
95,20315208,259000,4,143,0,1,0,1,4,597,1,0,0,0,0,62123,950.0,2546,0.027972027972027972
96,20315205,245000,3,145,1,1,0,1,3,700,1,0,2,0,0,51731,1013.0,2841,0.020689655172413793
97,20315199,635000,4,201,0,1,0,1,3,66,1,0,0,0,0,62123,950.0,2546,0.01990049751243781
98,20315198,495000,4,211,0,1,0,1,3,66,1,0,0,0,0,62123,950.0,2546,0.018957345971563982
99,20315197,945000,4,217,0,1,0,3,4,66,1,1,0,0,0,62123,950.0,2546,0.018433179723502304
100,20315195,365000,3,126,0,1,0,3,0,16,0,3,0,0,0,62123,950.0,2546,0.023809523809523808
101,20315189,899000,4,553,0,1,0,5,4,305,1,1,0,0,0,62123,950.0,2546,0.007233273056057866
102,20315181,845000,5,292,0,1,0,4,4,742,1,1,0,0,0,62123,950.0,2546,0.017123287671232876
103,20315180,975000,3,241,0,1,0,1,4,742,1,1,0,0,0,62123,950.0,2546,0.012448132780082987
104,20315178,100000,2,110,0,1,0,4,2,690,1,0,1,1,0,36940,759.0,1618,0.01818181818181818
105,20315176,419000,3,160,1,0,0,1,4,414,1,0,0,0,0,62123,950.0,2546,0.01875
106,20315168,865000,3,195,1,1,0,4,3,346,0,8,6,2,0,90459,1205.0,3323,0.015384615384615385
107,20315166,819000,6,312,1,1,1,1,4,372,1,4,10,1,0,34715,759.0,1949,0.019230769230769232
108,20315158,429000,4,178,1,0,0,1,0,563,1,0,4,0,0,31766,,2193,0.02247191011235955
109,20315154,110000,2,112,0,0,0,2,2,228,1,0,10,1,0,34715,759.0,1949,0.017857142857142856
110,20315153,138000,1,50,1,0,0,5,2,787,0,3,2,0,0,51731,1013.0,2841,0.02
111,20315149,239000,2,95,0,0,0,1,2,552,0,8,6,2,0,90459,1205.0,3323,0.021052631578947368
112,20315115,425000,4,268,1,0,0,3,3,556,1,0,5,0,0,52323,950.0,2888,0.014925373134328358
113,20314990,255000,3,88,0,1,0,3,0,793,0,3,3,0,0,98189,1000.0,2577,0.03409090909090909
114,20314985,235000,0,41,0,0,0,1,0,400,0,5,0,0,0,62123,950.0,2546,0.0
115,20314968,189000,2,205,0,1,0,1,3,474,1,0,0,0,0,62123,950.0,2546,0.00975609756097561
116,20314941,319000,3,132,1,1,1,1,4,246,1,0,1,1,0,36940,759.0,1618,0.022727272727272728
117,20314938,375000,3,200,0,0,0,4,3,240,1,0,3,0,0,98189,1000.0,2577,0.015
118,20314936,339000,4,175,1,1,0,5,4,306,1,0,3,0,0,98189,1000.0,2577,0.022857142857142857
119,20314933,395000,3,150,1,1,1,1,3,170,1,0,9,1,0,21155,1013.0,2729,0.02
120,20314932,199900,1,123,1,1,0,3,3,12,0,6,1,1,0,36940,759.0,1618,0.008130081300813009
121,20314931,199900,1,123,1,1,0,3,3,12,1,0,1,1,0,36940,759.0,1618,0.008130081300813009
122,20314876,230000,3,178,0,0,0,1,3,108,1,0,1,1,0,36940,759.0,1618,0.016853932584269662
123,20314875,179000,2,97,1,1,1,5,2,318,0,3,9,1,0,21155,1013.0,2729,0.020618556701030927
124,20314871,179000,2,97,1,1,1,5,2,351,0,3,9,1,0,21155,1013.0,2729,0.020618556701030927
125,20314868,249000,2,150,1,1,0,2,3,30,1,0,1,1,0,36940,759.0,1618,0.013333333333333334
126,20314867,319000,3,123,0,0,0,2,0,529,1,0,0,0,0,62123,950.0,2546,0.024390243902439025
127,20314861,729000,4,222,1,1,0,2,0,197,1,0,3,0,0,98189,1000.0,2577,0.018018018018018018
128,20314859,232000,1,71,1,0,0,6,0,400,0,3,0,0,0,62123,950.0,2546,0.014084507042253521
129,20314855,215000,3,100,0,0,0,1,0,358,0,3,0,0,0,62123,950.0,2546,0.03
130,20314852,309000,4,232,1,1,1,6,2,704,1,9,0,0,0,62123,950.0,2546,0.017241379310344827
131,20314842,250950,3,144,0,1,0,3,2,229,1,0,5,0,0,52323,950.0,2888,0.020833333333333332
132,20314840,189000,5,300,1,1,0,4,0,704,1,0,0,0,0,62123,950.0,2546,0.016666666666666666
133,20314839,229000,3,90,1,1,0,6,0,165,0,3,5,0,0,52323,950.0,2888,0.03333333333333333
134,20314838,349000,3,114,0,1,0,1,0,447,0,3,5,0,0,52323,950.0,2888,0.02631578947368421
135,20314832,445126,2,136,0,1,0,2,0,302,0,3,5,0,0,52323,950.0,2888,0.014705882352941176
136,20314825,795000,2,123,0,1,0,3,0,232,1,0,5,0,0,52323,950.0,2888,0.016260162601626018
137,20314823,925000,3,185,1,1,1,1,4,232,1,0,5,0,0,52323,950.0,2888,0.016216216216216217
