,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded
315,20313339,375000,5,200,1,1,1,5,2,719,0,10,6,2
316,20313336,375000,5,200,1,1,1,5,2,719,1,0,6,2
317,20313333,420000,3,168,1,1,0,1,2,146,0,6,2,0
318,20313329,375000,5,235,1,1,1,3,2,164,1,0,0,0
319,20313269,425000,3,130,0,1,0,6,3,199,1,0,3,0
320,20313267,299000,2,67,1,1,0,1,3,761,0,3,6,2
321,20313264,599000,3,240,1,1,1,6,3,649,1,0,0,0
322,20313263,547000,3,146,1,1,0,3,2,337,0,8,0,0
323,20313262,155000,2,117,1,1,0,1,2,418,1,0,1,1
324,20313046,265000,1,63,1,0,0,5,3,740,0,3,6,2
325,20313041,200000,1,47,1,1,0,1,0,54,0,3,7,1
326,20313037,425000,3,123,0,0,0,4,4,331,1,0,1,1
327,20313035,319000,2,123,1,1,0,1,2,44,0,3,3,0
328,20313030,470000,4,123,0,1,1,2,3,624,1,0,0,0
329,20313029,359000,2,120,1,0,0,2,3,478,1,0,2,0
330,20313028,539000,3,196,1,1,0,3,2,81,0,3,5,0
331,20313020,289000,2,109,0,0,0,1,2,225,0,7,3,0
332,20313018,179000,3,99,1,1,0,1,3,142,1,0,10,1
333,20313017,799000,3,180,1,1,1,3,2,761,0,3,6,2
334,20313014,465000,3,192,0,0,0,1,2,672,1,2,6,2
335,20313003,430000,2,60,1,1,0,2,4,650,0,3,5,0
336,20312993,398000,2,125,1,1,0,6,3,44,0,3,3,0
337,20312976,518000,4,296,1,1,0,1,0,739,1,0,3,0
338,20312935,199000,4,222,0,1,0,4,4,196,1,0,10,1
339,20312906,325000,3,140,0,1,1,1,3,45,1,0,5,0
340,20312894,495000,3,234,0,0,0,1,3,698,1,0,3,0
341,20312891,215000,3,66,0,0,0,1,0,443,0,3,2,0
342,20312875,129500,5,180,1,1,0,5,2,142,1,0,10,1
343,20312872,209000,2,100,1,0,0,2,0,196,1,0,10,1
344,20312849,374500,3,140,0,1,0,2,3,474,1,0,0,0
345,20312846,285000,3,120,0,1,0,2,2,636,0,3,3,0
346,20312842,249000,1,70,1,1,0,1,2,485,0,6,3,0
347,20312841,285000,3,155,1,0,0,5,0,167,1,0,4,0
348,20312840,388000,3,147,0,0,0,1,0,118,1,0,0,0
349,20312839,399000,2,142,0,1,0,1,0,401,0,3,0,0
